transaction_id,event_ts,province,channel,merchant_category,customer_segment,amount_cad,risk_score,risk_tier,reason_code,is_fraud
TX0006803,2026-05-09 00:50:00,ON,E-commerce,Electronics,Affluent,1743.2,0.9957625149745495,Critical,"high amount, unusual hour",1
TX0031979,2026-03-08 04:34:00,ON,E-commerce,Travel,New-to-bank,2256.09,0.9955507216455408,Critical,"high amount, unusual hour",0
TX0051346,2026-07-09 01:31:00,QC,E-commerce,Travel,Affluent,1169.82,0.9955118496757378,Critical,"international, high amount, unusual hour",0
TX0018421,2026-08-17 16:03:00,ON,E-commerce,Cash,Affluent,2346.91,0.9954825251009825,Critical,high amount,0
TX0036270,2026-05-09 05:45:00,QC,E-commerce,Travel,Everyday,1302.48,0.9953375131593852,Critical,"international, high amount",0
TX0018255,2026-06-22 20:43:00,ON,Mobile wallet,Travel,Everyday,2148.81,0.9949076825125093,Critical,high amount,0
TX0040195,2026-04-10 07:58:00,ON,E-commerce,Dining,Student,1464.5,0.9947701120667363,Critical,"international, high amount",1
TX0022150,2026-03-03 17:14:00,QC,Recurring,Travel,New-to-bank,2145.2,0.9945895938888183,Critical,"international, high amount",0
TX0024017,2026-07-21 00:39:00,MB,Recurring,Travel,Student,2482.34,0.9936925556088706,Critical,"high amount, unusual hour",0
TX0014331,2026-07-31 12:10:00,MB,E-commerce,Cash,New-to-bank,1259.36,0.9935638732597125,Critical,"international, high amount",1
TX0033909,2026-07-18 19:28:00,BC,E-commerce,Electronics,New-to-bank,1100.75,0.9926807676906462,Critical,"international, high amount",1
TX0055030,2026-05-31 06:15:00,QC,E-commerce,Electronics,Small business,1531.91,0.9925265015582261,Critical,high amount,0
TX0021138,2026-06-21 19:51:00,AB,E-commerce,Travel,Everyday,2211.6,0.9924268234780356,Critical,high amount,0
TX0027699,2026-04-01 21:52:00,ON,Recurring,Travel,Everyday,1841.57,0.9921993761614827,Critical,"international, high amount",1
TX0000339,2026-01-02 10:32:00,BC,E-commerce,Dining,Affluent,1856.91,0.9915687176193478,Critical,high amount,0
TX0048744,2026-03-28 19:46:00,ON,E-commerce,Travel,Small business,1549.5,0.9914086176545452,Critical,"international, high amount",0
TX0037177,2026-05-24 04:31:00,ON,E-commerce,Travel,Affluent,1256.77,0.9911753869232492,Critical,"international, high amount, unusual hour",0
TX0047281,2026-04-01 01:29:00,QC,E-commerce,Travel,Affluent,855.32,0.9910893663045128,Critical,"international, high amount, unusual hour",0
TX0057789,2026-08-10 11:30:00,QC,ATM,Electronics,Student,1361.12,0.9907088171440795,Critical,"international, high amount",0
TX0020111,2026-01-23 23:56:00,QC,E-commerce,Electronics,Affluent,1572.45,0.9897320601785261,Critical,"high amount, unusual hour",0
TX0003754,2026-04-08 23:30:00,ON,Recurring,Travel,Everyday,2468.02,0.9895631149714956,Critical,"high amount, unusual hour",0
TX0027351,2026-01-11 02:00:00,NB,E-commerce,Electronics,Affluent,970.33,0.9894357720219941,Critical,"international, high amount, unusual hour",0
TX0045002,2026-03-22 15:06:00,ON,Mobile wallet,Dining,Student,1670.04,0.9891694304414729,Critical,high amount,0
TX0031893,2026-07-28 15:40:00,ON,Point of sale,Fuel,New-to-bank,2807.43,0.9890466338022249,Critical,high amount,0
TX0000307,2026-06-27 11:03:00,NB,Mobile wallet,Fuel,Affluent,1876.45,0.9886256299289189,Critical,high amount,0
TX0000243,2026-04-01 15:47:00,QC,Mobile wallet,Electronics,Everyday,1519.59,0.9885571880726567,Critical,high amount,0
TX0033245,2026-01-22 03:36:00,NB,E-commerce,Travel,Affluent,1990.91,0.9883697071822198,Critical,"high amount, unusual hour",0
TX0032022,2026-04-08 18:54:00,ON,E-commerce,Travel,New-to-bank,715.46,0.9881785356486577,Critical,"international, high velocity, high amount",1
TX0031039,2026-08-19 23:59:00,MB,Point of sale,Travel,Everyday,2565.29,0.9880296083381299,Critical,"high amount, unusual hour",0
TX0021525,2026-01-16 02:36:00,ON,E-commerce,Other,Student,1482.46,0.9878577165050831,Critical,"high amount, unusual hour",0
TX0013877,2026-02-28 12:22:00,ON,E-commerce,Cash,New-to-bank,984.62,0.9876414623509462,Critical,"international, high amount",0
TX0047257,2026-04-18 09:28:00,ON,ATM,Travel,Everyday,1689.93,0.9874298728244406,Critical,"international, high amount",0
TX0004000,2026-08-17 15:49:00,QC,Recurring,Other,Student,1228.1,0.9872210472768811,Critical,"international, high amount",0
TX0011085,2026-03-09 10:22:00,AB,Mobile wallet,Electronics,Everyday,1714.37,0.9872087086281642,Critical,high amount,0
TX0028109,2026-08-22 23:18:00,ON,E-commerce,Electronics,Student,1316.27,0.9871734022935659,Critical,"high velocity, high amount, unusual hour",1
TX0030887,2026-05-26 08:17:00,QC,E-commerce,Travel,Student,1253.31,0.987139708335005,Critical,"international, high amount",0
TX0017436,2026-04-03 10:13:00,ON,E-commerce,Digital services,Affluent,437.51,0.9868660677499107,Critical,international,0
TX0028217,2026-06-25 10:39:00,QC,E-commerce,Travel,New-to-bank,1028.73,0.986477494071148,Critical,"international, high amount",0
TX0007358,2026-03-07 01:39:00,BC,E-commerce,Electronics,Student,883.65,0.9864381045115673,Critical,"international, high amount, unusual hour",1
TX0000133,2026-08-23 07:31:00,QC,ATM,Travel,Everyday,2477.87,0.986160928262177,Critical,high amount,0
TX0012484,2026-03-05 07:41:00,ON,ATM,Other,Affluent,824.48,0.9849042570567811,Critical,"international, low device trust, high amount",0
TX0042048,2026-07-03 17:04:00,AB,E-commerce,Dining,Affluent,1532.83,0.984893534203957,Critical,high amount,0
TX0009739,2026-07-28 14:19:00,AB,Mobile wallet,Cash,Small business,2128.17,0.9842624940012844,Critical,high amount,0
TX0042172,2026-07-28 07:08:00,QC,E-commerce,Digital services,Student,315.4,0.984183701107095,Critical,international,1
TX0013461,2026-03-26 06:58:00,BC,E-commerce,Fuel,Small business,982.75,0.9841822509060253,Critical,"international, high amount",0
TX0052694,2026-08-05 17:02:00,QC,E-commerce,Dining,Student,1752.39,0.9841545576781346,Critical,high amount,0
TX0032216,2026-05-05 04:08:00,ON,Mobile wallet,Grocery,Small business,1881.67,0.9840722329426158,Critical,"high amount, unusual hour",0
TX0023499,2026-05-13 03:21:00,QC,Mobile wallet,Electronics,Everyday,1592.2,0.9840461797544877,Critical,"high amount, unusual hour",0
TX0023345,2026-06-15 12:55:00,AB,Point of sale,Travel,Everyday,1358.63,0.9839160233196473,Critical,"international, high amount",0
TX0059983,2026-03-14 12:55:00,ON,E-commerce,Travel,Everyday,1976.98,0.9838962449027919,Critical,high amount,0
TX0037644,2026-06-22 05:50:00,ON,E-commerce,Fuel,Small business,2125.71,0.9836190200112324,Critical,high amount,0
TX0039297,2026-01-15 10:11:00,AB,E-commerce,Electronics,New-to-bank,633.45,0.9835457273125016,Critical,"international, high amount",1
TX0007835,2026-07-23 11:13:00,QC,Recurring,Travel,Small business,2457.44,0.9833739331643269,Critical,high amount,0
TX0054036,2026-05-18 10:15:00,ON,E-commerce,Electronics,Student,1263.35,0.9832937814889485,Critical,high amount,0
TX0006611,2026-06-26 08:50:00,BC,Mobile wallet,Travel,Everyday,1004.26,0.9831669244891386,Critical,"international, high amount, distance anomaly",0
TX0003613,2026-04-10 19:25:00,QC,E-commerce,Electronics,Student,1304.28,0.982944176898397,Critical,high amount,0
TX0051498,2026-03-23 07:41:00,AB,E-commerce,Other,Everyday,1391.47,0.9827842025145309,Critical,high amount,0
TX0003621,2026-01-05 09:54:00,AB,E-commerce,Travel,New-to-bank,1802.06,0.982654691491937,Critical,high amount,0
TX0020833,2026-01-23 05:54:00,ON,Mobile wallet,Grocery,Everyday,1754.19,0.9822247790231752,Critical,"low device trust, high amount",0
TX0019522,2026-06-14 23:30:00,QC,ATM,Travel,Affluent,1438.87,0.9821019488446376,Critical,"international, high amount, unusual hour",0
TX0052750,2026-03-10 08:17:00,BC,E-commerce,Fuel,Affluent,905.65,0.981931450659683,Critical,"international, high amount",0
TX0009373,2026-03-22 09:19:00,BC,Point of sale,Grocery,New-to-bank,1937.63,0.9815037356567413,Critical,high amount,0
TX0019973,2026-06-29 00:58:00,QC,E-commerce,Grocery,Everyday,702.74,0.9813667401414924,Critical,"international, high amount, unusual hour",1
TX0059411,2026-04-06 22:41:00,AB,ATM,Dining,Affluent,647.32,0.9813432049692444,Critical,"international, low device trust, high velocity",1
TX0023982,2026-07-09 17:56:00,BC,Mobile wallet,Electronics,Affluent,1758.88,0.981110185194652,Critical,high amount,1
TX0034850,2026-05-11 12:28:00,BC,E-commerce,Travel,Small business,1010.49,0.9810484779676496,Critical,"international, high amount",0
TX0036474,2026-05-22 00:51:00,QC,Mobile wallet,Dining,Everyday,1559.84,0.9810084096085439,Critical,"high amount, unusual hour",0
TX0004220,2026-05-31 06:38:00,ON,E-commerce,Dining,Affluent,350.98,0.9808693374980105,Critical,international,0
TX0043615,2026-04-14 05:24:00,NS,E-commerce,Travel,New-to-bank,615.38,0.9808384171639867,Critical,"international, high amount",0
TX0016179,2026-04-19 06:22:00,ON,E-commerce,Digital services,Everyday,156.43,0.9800822914603831,Critical,"international, low device trust",1
TX0022687,2026-01-22 02:52:00,MB,E-commerce,Travel,Affluent,164.45,0.9798800621388979,Critical,"international, high velocity, unusual hour",1
TX0004196,2026-05-01 21:02:00,ON,Point of sale,Travel,Everyday,2453.51,0.9796478991553185,Critical,"high amount, distance anomaly",0
TX0027372,2026-04-08 00:09:00,NS,Recurring,Digital services,Everyday,2322.62,0.9792761883500348,Critical,"high amount, unusual hour",0
TX0004696,2026-03-09 11:02:00,AB,Point of sale,Electronics,Student,2048.68,0.9788078052670617,Critical,high amount,0
TX0020709,2026-05-14 06:01:00,MB,E-commerce,Electronics,Affluent,1288.26,0.9787570702311978,Critical,high amount,0
TX0014668,2026-01-22 03:47:00,NS,ATM,Travel,Everyday,2401.15,0.9784692045123573,Critical,"high amount, unusual hour",0
TX0051909,2026-04-04 00:52:00,AB,E-commerce,Cash,Everyday,1748.43,0.9782957073530981,Critical,"high amount, unusual hour",0
TX0007982,2026-02-07 01:58:00,BC,E-commerce,Dining,Affluent,513.78,0.9781631018826342,Critical,"international, high amount, unusual hour",0
TX0052084,2026-07-11 11:08:00,ON,E-commerce,Electronics,Affluent,473.74,0.9780405084075109,Critical,international,0
TX0046437,2026-04-23 04:46:00,ON,E-commerce,Electronics,Everyday,568.67,0.9778404225885126,Critical,"international, high amount, unusual hour",1
TX0027492,2026-06-29 01:17:00,QC,E-commerce,Travel,Everyday,939.58,0.9777813230950548,Critical,"international, high amount, unusual hour",1
TX0049267,2026-03-01 03:52:00,QC,E-commerce,Travel,Everyday,615.27,0.9775574531162948,Critical,"international, high amount, unusual hour",0
TX0053325,2026-08-26 13:47:00,AB,Mobile wallet,Electronics,New-to-bank,1001.89,0.977470091824694,Critical,"international, high amount",0
TX0002185,2026-05-28 05:19:00,BC,E-commerce,Travel,New-to-bank,232.97,0.9773157877493913,Critical,"international, high velocity",1
TX0026765,2026-06-20 00:08:00,ON,Mobile wallet,Travel,Everyday,454.7,0.9771166635147592,Critical,"international, low device trust, unusual hour",1
TX0038280,2026-01-20 03:03:00,AB,Point of sale,Cash,New-to-bank,1887.36,0.977100824570237,Critical,"high amount, unusual hour",0
TX0036635,2026-01-23 13:44:00,QC,Mobile wallet,Electronics,Student,1646.41,0.9766210205953414,Critical,high amount,1
TX0050654,2026-04-13 10:12:00,NB,E-commerce,Cash,Everyday,1576.5,0.9765297347972074,Critical,high amount,0
TX0046412,2026-08-11 06:13:00,ON,E-commerce,Travel,Everyday,763.33,0.9765114065639982,Critical,"international, high amount",0
TX0010979,2026-06-14 20:33:00,QC,Mobile wallet,Travel,Everyday,1060.8,0.9765069113585535,Critical,"international, high amount",1
TX0014038,2026-02-24 07:24:00,SK,E-commerce,Travel,Everyday,445.19,0.9756979962464598,Critical,international,0
TX0052224,2026-01-01 03:05:00,QC,E-commerce,Electronics,Affluent,905.26,0.9756136907911716,Critical,"low device trust, high amount, unusual hour",0
TX0042637,2026-05-20 17:17:00,QC,E-commerce,Travel,Everyday,1879.94,0.9753475855540804,Critical,high amount,0
TX0043834,2026-05-04 04:10:00,QC,E-commerce,Digital services,Student,253.92,0.9753350446948297,Critical,"international, unusual hour",1
TX0007185,2026-06-14 05:09:00,QC,E-commerce,Electronics,Affluent,118.24,0.9748880266028604,Critical,international,0
TX0055203,2026-03-21 01:39:00,BC,E-commerce,Travel,Affluent,858.99,0.9748730509661979,Critical,"international, high amount, unusual hour",0
TX0052213,2026-08-04 04:35:00,AB,Point of sale,Digital services,Everyday,2031.69,0.9748026958262476,Critical,"high amount, unusual hour",0
TX0044152,2026-06-04 00:41:00,QC,E-commerce,Travel,Affluent,41.5,0.9747825754929474,Critical,"international, unusual hour, distance anomaly",0
TX0030216,2026-07-25 09:44:00,QC,E-commerce,Cash,Student,564.55,0.9744212683057523,Critical,"international, low device trust, high amount",1
TX0003144,2026-07-10 04:39:00,ON,E-commerce,Digital services,Affluent,153.18,0.974254016822716,Critical,"international, unusual hour",1
TX0039069,2026-02-22 00:37:00,AB,Point of sale,Electronics,Everyday,909.85,0.9739689463825375,Critical,"international, high amount, unusual hour",0
TX0028533,2026-08-22 13:20:00,ON,ATM,Electronics,Everyday,1918.21,0.9739173826846248,Critical,high amount,0
TX0040479,2026-03-08 13:25:00,AB,Point of sale,Grocery,Affluent,2095.86,0.973861922129782,Critical,high amount,0
TX0049178,2026-06-24 19:53:00,AB,E-commerce,Grocery,Affluent,59.43,0.9738404624136763,Critical,"international, high velocity, distance anomaly",1
TX0044681,2026-08-03 11:40:00,QC,Mobile wallet,Electronics,Student,1474.12,0.9736587647401826,Critical,high amount,0
TX0037911,2026-04-19 06:36:00,QC,Recurring,Digital services,Everyday,1082.67,0.9734326622151939,Critical,"international, high amount",0
TX0036179,2026-07-12 13:15:00,MB,E-commerce,Travel,Affluent,261.58,0.9733630805732773,Critical,"international, low device trust",1
TX0004017,2026-08-23 17:37:00,NS,Point of sale,Electronics,Everyday,1673.16,0.9732180093748926,Critical,"high velocity, high amount",0
TX0008796,2026-03-25 00:28:00,SK,E-commerce,Cash,Affluent,499.21,0.9731866855918531,Critical,"international, low device trust, unusual hour",0
TX0026078,2026-06-06 09:05:00,BC,E-commerce,Travel,Everyday,747.24,0.9725827106419846,Critical,"international, high amount",0
TX0057400,2026-04-20 09:18:00,ON,Mobile wallet,Dining,New-to-bank,363.47,0.9723310911921851,Critical,"international, low device trust",0
TX0007567,2026-04-18 11:21:00,QC,Mobile wallet,Electronics,Everyday,1199.77,0.9719088817023586,Critical,high amount,0
TX0020816,2026-01-21 19:46:00,ON,Point of sale,Grocery,Everyday,1438.63,0.9718144517882744,Critical,"international, high amount",0
TX0029664,2026-07-21 07:30:00,QC,ATM,Travel,Everyday,1176.14,0.9716685777141857,Critical,"international, high amount",0
TX0055911,2026-08-24 11:02:00,ON,E-commerce,Electronics,Student,335.09,0.9715880761462066,Critical,international,0
TX0003783,2026-06-19 02:28:00,AB,Recurring,Travel,Everyday,1174.99,0.9714649639437659,Critical,"international, high amount, unusual hour",0
TX0029845,2026-02-07 15:08:00,BC,E-commerce,Digital services,Affluent,79.83,0.971128903182648,Critical,international,0
TX0016521,2026-06-23 02:07:00,BC,E-commerce,Fuel,Everyday,1739.05,0.9710531320411561,Critical,"high amount, unusual hour",0
TX0051290,2026-04-23 09:34:00,AB,E-commerce,Electronics,Everyday,1224.29,0.9706809067874116,Critical,high amount,0
TX0020533,2026-06-27 01:11:00,ON,E-commerce,Travel,Everyday,594.67,0.9704126955616547,Critical,"international, high amount, unusual hour",0
TX0038921,2026-06-10 05:20:00,SK,Mobile wallet,Travel,Small business,1440.44,0.9703645324743483,Critical,high amount,1
TX0055882,2026-03-08 02:12:00,AB,E-commerce,Dining,Student,1431.51,0.9703045914375508,Critical,"high amount, unusual hour",0
TX0019903,2026-05-17 20:46:00,BC,E-commerce,Dining,Student,1312.36,0.9702853070337828,Critical,"high amount, distance anomaly",0
TX0058145,2026-06-19 19:04:00,MB,Point of sale,Travel,Small business,1205.39,0.9701312159044468,Critical,"international, high amount",0
TX0028963,2026-06-08 19:36:00,ON,E-commerce,Travel,Affluent,861.32,0.969967694374959,Critical,"international, high amount",1
TX0049784,2026-03-12 15:30:00,ON,ATM,Travel,Everyday,1985.23,0.9697773501615056,Critical,high amount,0
TX0022626,2026-06-12 21:42:00,QC,Point of sale,Cash,Student,1180.36,0.9695763024521159,Critical,"international, high amount",0
TX0009441,2026-08-07 08:32:00,QC,E-commerce,Digital services,Everyday,39.67,0.9691917243136314,Critical,"international, high velocity",0
TX0041680,2026-06-20 00:19:00,QC,E-commerce,Electronics,Affluent,78.92,0.9691916955329308,Critical,"international, unusual hour",0
TX0004340,2026-04-19 00:13:00,BC,E-commerce,Digital services,New-to-bank,132.26,0.9691265037668996,Critical,"international, unusual hour",1
TX0022176,2026-07-09 20:57:00,AB,ATM,Electronics,Affluent,1526.7,0.9689813309646563,Critical,high amount,0
TX0051910,2026-03-28 03:02:00,QC,E-commerce,Other,Student,67.8,0.9683870904252195,Critical,"international, unusual hour",0
TX0011940,2026-03-16 01:42:00,ON,E-commerce,Travel,Everyday,703.98,0.968042229770152,Critical,"international, high amount, unusual hour",1
TX0008254,2026-06-09 02:01:00,BC,E-commerce,Electronics,Student,89.18,0.9677845914822917,Critical,"international, unusual hour, distance anomaly",1
TX0029867,2026-01-28 01:30:00,QC,E-commerce,Travel,Everyday,421.49,0.9675556295465061,Critical,"international, unusual hour, distance anomaly",0
TX0038474,2026-01-02 23:31:00,QC,E-commerce,Electronics,Affluent,382.63,0.9674565759952544,Critical,"international, unusual hour",0
TX0053321,2026-08-06 10:31:00,ON,Recurring,Electronics,Everyday,1168.8,0.9674075458696386,Critical,"international, high amount",0
TX0042972,2026-08-05 00:15:00,BC,E-commerce,Digital services,Everyday,276.18,0.9671093605607455,Critical,"international, unusual hour",0
TX0015277,2026-01-04 22:18:00,AB,E-commerce,Electronics,Everyday,1336.99,0.9667687627376874,Critical,high amount,0
TX0024651,2026-03-11 19:20:00,QC,E-commerce,Electronics,Small business,1456.51,0.9666916177897277,Critical,high amount,0
TX0052378,2026-02-05 08:37:00,AB,E-commerce,Travel,Small business,668.48,0.9666021216618874,Critical,"international, high amount",1
TX0041383,2026-05-10 22:50:00,ON,Recurring,Electronics,Everyday,2083.37,0.9665766711015055,Critical,high amount,0
TX0049118,2026-08-21 17:22:00,QC,E-commerce,Electronics,Student,32.31,0.966528626202659,Critical,international,0
TX0038249,2026-06-20 23:53:00,ON,Point of sale,Other,Small business,2489.89,0.9664966817632911,Critical,"high amount, unusual hour",0
TX0053672,2026-02-08 01:36:00,ON,Point of sale,Grocery,Small business,1691.74,0.9664785114868452,Critical,"high amount, unusual hour",0
TX0059005,2026-08-07 02:12:00,ON,E-commerce,Grocery,Affluent,530.72,0.9663913441713007,Critical,"international, high amount, unusual hour",0
TX0015294,2026-05-18 12:13:00,BC,Mobile wallet,Electronics,Everyday,153.05,0.9663440738997262,Critical,"international, low device trust, high velocity",1
TX0052311,2026-07-14 05:16:00,AB,E-commerce,Fuel,Affluent,98.23,0.96616191879905,Critical,"international, low device trust",0
TX0032680,2026-03-01 11:26:00,QC,E-commerce,Digital services,Student,160.75,0.9661612938382707,Critical,international,0
TX0035728,2026-04-13 22:12:00,QC,E-commerce,Grocery,Student,557.62,0.9659924701171724,Critical,"international, high amount",0
TX0016795,2026-01-30 18:56:00,QC,Point of sale,Travel,New-to-bank,1325.45,0.9657544613410548,Critical,"international, high amount",0
TX0019304,2026-08-17 01:07:00,ON,E-commerce,Travel,Student,1017.88,0.9656280437834468,Critical,"high amount, unusual hour",0
TX0018458,2026-02-21 05:29:00,QC,E-commerce,Travel,Everyday,1133.32,0.9654037124235272,Critical,high amount,0
TX0026150,2026-02-14 19:30:00,QC,E-commerce,Digital services,Affluent,566.2,0.9653947418706351,Critical,"international, high amount",0
TX0002432,2026-02-23 21:30:00,AB,E-commerce,Digital services,Affluent,938.83,0.9650595364551933,Critical,"high velocity, high amount",0
TX0036445,2026-05-04 09:13:00,QC,E-commerce,Travel,Student,473.56,0.964944663650179,Critical,international,0
TX0008649,2026-05-17 01:07:00,MB,E-commerce,Dining,Affluent,391.82,0.9647715606748855,Critical,"international, unusual hour",0
TX0049391,2026-07-17 03:25:00,QC,Point of sale,Digital services,Student,1392.26,0.9646538613302853,Critical,"high amount, unusual hour",0
TX0045450,2026-04-28 02:24:00,ON,E-commerce,Other,Everyday,214.73,0.9645261181616491,Critical,"international, unusual hour",1
TX0009295,2026-04-28 19:37:00,NS,E-commerce,Electronics,Everyday,485.25,0.9643504708158633,Critical,international,1
TX0041055,2026-07-01 03:34:00,QC,ATM,Travel,Everyday,1006.86,0.9643325458954045,Critical,"international, high amount, unusual hour",0
TX0033219,2026-08-09 09:53:00,ON,Mobile wallet,Travel,New-to-bank,948.95,0.9642471954673062,Critical,"international, high amount",1
TX0048969,2026-07-21 15:58:00,QC,E-commerce,Travel,New-to-bank,1218.02,0.9641031322627821,Critical,high amount,0
TX0039797,2026-04-05 02:52:00,ON,Point of sale,Electronics,Affluent,632.08,0.9640631214787235,Critical,"international, high amount, unusual hour",0
TX0009961,2026-03-06 16:55:00,BC,E-commerce,Electronics,Student,477.29,0.9640076646309257,Critical,international,0
TX0010373,2026-07-17 04:03:00,QC,E-commerce,Electronics,New-to-bank,189.82,0.9636775955125346,Critical,"international, unusual hour",1
TX0034146,2026-07-14 15:02:00,QC,E-commerce,Other,Everyday,1153.97,0.9633581835916,Critical,"high velocity, high amount",0
TX0020731,2026-08-19 08:16:00,QC,Point of sale,Digital services,Everyday,794.03,0.9633299297325687,Critical,"international, high amount",0
TX0017309,2026-01-16 06:21:00,ON,ATM,Electronics,New-to-bank,1598.34,0.9633133629866956,Critical,high amount,0
TX0051117,2026-03-03 18:48:00,BC,Mobile wallet,Digital services,Everyday,1681.84,0.9632755100680888,Critical,high amount,0
TX0037941,2026-08-06 03:46:00,QC,Mobile wallet,Digital services,Everyday,459.11,0.9631937392757084,Critical,"international, unusual hour",1
TX0024444,2026-02-16 18:34:00,ON,E-commerce,Cash,Everyday,673.22,0.9630958373820444,Critical,"international, high amount",0
TX0056324,2026-02-15 19:57:00,ON,E-commerce,Other,Affluent,135.57,0.9630696899070323,Critical,international,1
TX0007515,2026-04-20 07:56:00,AB,E-commerce,Fuel,Affluent,418.66,0.963065018243985,Critical,international,0
TX0037959,2026-03-17 04:42:00,MB,Recurring,Fuel,Everyday,1510.8,0.962809106379721,Critical,"high amount, unusual hour",0
TX0023305,2026-04-12 06:55:00,ON,E-commerce,Grocery,Everyday,544.56,0.9627893912023476,Critical,"international, high amount",0
TX0041959,2026-05-04 19:10:00,ON,Point of sale,Grocery,Student,1962.39,0.962697800486559,Critical,high amount,0
TX0033285,2026-06-22 19:09:00,QC,Point of sale,Digital services,Affluent,1144.68,0.9626068153929324,Critical,"international, high amount",0
TX0049172,2026-01-16 08:12:00,ON,E-commerce,Cash,Affluent,324.77,0.9620421786071989,Critical,international,0
TX0010897,2026-04-02 08:59:00,QC,E-commerce,Travel,Everyday,943.88,0.961780505611952,Critical,"international, high amount",0
TX0052516,2026-05-20 14:04:00,QC,Point of sale,Electronics,Affluent,674.91,0.9617626772937804,Critical,"international, high amount",0
TX0030450,2026-07-29 07:17:00,ON,E-commerce,Other,New-to-bank,1040.41,0.9617584569296583,Critical,"low device trust, high amount",0
TX0012223,2026-04-18 05:42:00,BC,E-commerce,Travel,Student,884.8,0.9617146680127008,Critical,"high velocity, high amount",0
TX0015666,2026-01-30 09:09:00,ON,E-commerce,Other,Affluent,564.23,0.9616943564651115,Critical,"international, high amount",0
